"taxon_order","records","sources","ts","spp_n","families","spp"
"Archaeognatha",224,3,30,NA,3,NA
"Blattodea",1068,5,68,3,7,1
"Coleoptera",537861,67,9302,229088,126,3089
"Dermaptera",449,2,41,221,3,1
"Diptera",741869,48,9262,68381,84,535
"Embioptera",366,3,42,NA,2,NA
"Ephemeroptera",520053,28,9066,181316,24,156
"Hemiptera",173188,44,7213,98112,84,754
"Hymenoptera",39079,39,229,23160,61,712
"Lepidoptera",1880248,77,3055,1822808,74,4971
"Mantodea",129,5,41,NA,4,NA
"Mecoptera",2286,3,8,NA,2,NA
"Megaloptera",35368,16,5416,10578,3,10
"Neuroptera",8389,21,720,1285,11,6
"Odonata",76883,26,5732,21878,22,175
"Orthoptera",10629,21,89,8287,14,149
"Phasmida",769,5,5,760,3,2
"Plecoptera",201602,20,5968,72253,14,118
"Psocodea",923,8,65,NA,3,NA
"Raphidioptera",1,1,1,NA,1,NA
"Siphonaptera",12,3,7,NA,2,NA
"Thysanoptera",1029,9,66,NA,4,NA
"Trichoptera",755111,27,9004,224225,34,300
"Zygentoma",619,4,49,NA,2,NA
