"sample_technique","records","sources","ts","spp_n","orders","families","spp"
"ARTIFICIAL_SUBSTRATE_SAMPLER",5652,1,5,NA,11,68,NA
"BAIT_TRAP",8380,2,2,7793,2,5,135
"BLUE_VANE_TRAP",774,1,1,765,1,4,27
"EMERGENCE_TRAP",47891,1,1,45937,3,25,56
"GRAB_SAMPLER",882,1,1,NA,2,3,NA
"HESS_SAMPLER",7200,1,25,2628,6,53,29
"KICK_SAMPLES",2299365,6,7984,491387,11,112,633
"LIGHT_TRAP",984981,13,594,962081,8,137,3903
"MALAISE_TRAP",1359,3,3,285,12,110,161
"MARK_RECAPTURE",107,1,5,107,1,1,NA
"MULTIPLE_METHODS",13054,3,3,12890,2,9,225
"NEST_BOX_SEARCHES",34,1,1,19,1,2,1
"NET_AQUATIC",359935,14,1162,121817,19,182,618
"PAN_TRAP",14382,2,4,13220,1,6,366
"PETERSEN_SAMPLER",9086,1,11,NA,6,10,NA
"PHEROMONE_TRAP",549,3,3,408,4,8,17
"PITFALL_TRAP",83515,19,167,52386,19,238,786
"QUADRAT_COUNTS",11,1,1,NA,1,1,NA
"RADAR",24,1,3,NA,1,1,NA
"REARING",319,2,3,232,4,13,16
"SEDIMENT_CORES",17212,2,3,814,9,50,33
"STICKY_TRAP",62303,1,1,41442,4,7,9
"SUCTION_TRAP",1647,3,4,200,10,118,2
"SWEEP_NET",58949,15,54,44606,18,265,1292
"TRANSECT_WALK",859162,26,1781,831565,9,98,592
"UNKNOWN",10953,4,4,10450,6,58,331
"VISUAL_SURVEY",119699,20,302,104271,9,107,466
"WINDOW_TRAP",20730,3,5,17052,3,125,1281
